Iteration,Discriminator Loss,Generator Loss
9690,1.251716,0.466694
9700,1.161376,0.377648
9710,1.306169,0.619939
9720,1.129991,0.377648
9730,1.152051,0.472704
9740,1.272678,0.682950
9750,1.266146,0.409533
9760,1.250907,0.386906
9770,1.292387,0.608641
9780,1.123984,0.493429
9790,1.214940,0.427971
9800,1.385648,0.439986
9810,1.188568,0.457581
9820,1.236037,0.351296
9830,1.218530,0.482038
9840,1.230887,0.584867
9850,1.189434,0.448045
9860,1.216695,0.510319
9870,1.139522,0.518838
9880,1.190432,0.407067
9890,1.121857,0.446537
9900,1.245272,0.399541
9910,1.320958,0.480983
9920,1.439946,0.530102
9930,1.141955,0.434198
9940,1.174489,0.467799
9950,1.289087,0.442900
9960,1.172473,0.425218
9970,1.218421,0.428482
9980,1.352820,0.463416
9990,1.276442,0.800655
10000,1.202936,0.442860
