Iteration,Discriminator Loss,Generator Loss
9070,1.172804,0.429246
9080,0.967811,0.370413
9090,0.990199,0.339463
9100,1.277055,0.277610
9110,1.313256,0.541154
9120,1.357362,0.754580
9130,1.207600,0.590640
9140,1.362588,0.702181
9150,1.199852,0.581743
9160,1.233128,0.582314
9170,1.275043,0.556259
9180,1.322131,0.462184
9190,1.188049,0.559947
9200,1.320676,0.630616
9210,1.026143,0.384052
9220,1.358152,0.633769
9230,1.203529,0.606282
9240,1.191899,0.546058
9250,1.199110,0.588895
9260,1.208258,0.412285
9270,1.191293,0.382864
9280,1.336463,0.425961
9290,1.141044,0.383745
9300,1.282324,0.577553
9310,1.207590,0.421797
9320,1.309631,0.695322
9330,0.958601,0.378426
9340,1.338907,0.911249
9350,1.322323,0.557874
9360,0.973124,0.349934
9370,1.209456,0.503893
9380,1.320897,0.475461
9390,1.371607,0.402919
9400,1.270632,0.578095
9410,1.319852,0.455928
9420,1.134967,0.433694
9430,1.274788,0.676948
9440,1.412526,0.645705
9450,1.171475,0.424634
9460,1.700234,0.255024
9470,1.012220,0.381446
9480,1.252053,0.494036
9490,1.276722,0.648147
9500,1.336896,0.491535
9510,1.183964,0.359947
9520,1.352593,0.692607
9530,1.103520,0.554154
9540,1.257504,0.513843
9550,1.301174,0.635715
9560,1.167295,0.550093
9570,1.128224,0.455328
9580,0.965773,0.367923
9590,1.217351,0.427537
9600,1.089497,0.301816
9610,1.192343,0.354158
9620,1.338233,0.816859
9630,1.193022,0.551962
9640,1.200111,0.484094
9650,1.425279,0.429566
9660,1.343202,0.447441
9670,1.266907,0.450179
9680,0.982262,0.354759
9690,1.241006,0.422915
9700,1.373339,0.343373
9710,1.476114,0.715880
9720,1.037329,0.285735
9730,0.991369,0.319192
9740,1.150441,0.428543
9750,1.303839,0.474650
9760,1.311781,0.445252
9770,1.152733,0.444537
9780,1.270661,0.508587
9790,0.916637,0.188554
9800,1.419699,0.463191
9810,1.165097,0.394384
9820,1.140705,0.593165
9830,1.346008,0.597662
9840,1.461975,0.304546
9850,1.300636,0.400632
9860,1.252299,0.650515
9870,1.147236,0.575594
9880,1.050349,0.395751
9890,1.191319,0.421040
9900,1.146231,0.513725
9910,1.202290,0.290511
9920,1.306587,0.737004
9930,1.393652,0.228473
9940,1.617419,0.328876
9950,1.003642,0.388999
9960,1.580783,0.519646
9970,1.141368,0.479080
9980,1.246148,0.532096
9990,1.115517,0.398135
10000,1.146826,0.436931
